Date,Open,High,Low,Close,Adj Close,Volume
2020-01-09,58.889999,59.400002,58.799999,58.849998,54.500473,20134600
2020-01-10,59.020000,59.299999,58.840000,58.990002,54.630127,11786700
2020-01-13,59.020000,59.369999,58.779999,59.150002,54.778301,14158400
2020-01-14,59.000000,59.130001,58.759998,59.040001,54.676437,12697100
2020-01-15,59.250000,59.419998,58.869999,59.099998,54.731995,10291300
2020-01-16,59.380001,59.849998,59.220001,59.669998,55.259872,10689600
2020-01-17,59.689999,60.150002,59.639999,60.130001,55.685875,15615700
2020-01-21,60.200001,60.470001,60.099998,60.320000,55.861832,12857600
2020-01-22,60.450001,60.820000,60.279999,60.480000,56.010006,8847100
2020-01-23,60.380001,60.529999,60.000000,60.509998,56.037785,11109000
2020-01-24,60.500000,60.660000,60.110001,60.279999,55.824783,10182800
2020-01-27,59.840000,60.360001,59.619999,59.910000,55.482132,11482300
2020-01-28,59.980000,61.000000,59.869999,60.700001,56.213753,15367500
2020-01-29,60.849998,60.919998,59.439999,59.529999,55.130219,13408900
2020-01-30,58.700001,59.389999,58.340000,59.360001,54.972786,16719600
2020-01-31,59.340000,60.049999,59.110001,59.439999,55.046867,14283600
2020-02-03,59.610001,59.680000,58.009998,58.049999,53.759598,15566400
2020-02-04,58.070000,58.570000,57.650002,58.290001,53.981869,13924600
2020-02-05,58.529999,59.189999,58.419998,59.130001,54.759785,10271900
2020-02-06,59.200001,59.669998,59.060001,59.439999,55.046867,10283700
2020-02-07,59.660000,60.150002,59.540001,59.939999,55.509918,9418100
2020-02-10,59.930000,60.240002,59.770000,60.240002,55.787746,8270200
2020-02-11,60.189999,60.349998,58.259998,58.689999,54.352295,22488200
2020-02-12,58.580002,58.860001,58.119999,58.230000,53.926296,20938000
2020-02-13,58.369999,58.830002,57.950001,58.650002,54.315258,19460100
2020-02-14,58.700001,58.810001,58.279999,58.509998,54.185604,9138900
2020-02-18,58.759998,58.759998,57.810001,57.910000,53.629948,12427300
2020-02-19,58.130001,58.580002,57.759998,58.220001,53.917042,13642800
2020-02-20,58.090000,58.360001,57.939999,58.090000,53.796646,16748600
2020-02-21,57.910000,58.250000,57.799999,58.200001,53.898521,15704300
2020-02-24,58.169998,58.689999,57.980000,57.990002,53.704041,18520900
2020-02-25,58.040001,58.400002,56.860001,57.119999,52.898335,19384900
2020-02-26,57.380001,57.869999,56.900002,57.139999,52.916851,16803600
2020-02-27,56.779999,57.380001,55.029999,55.060001,50.990593,25907200
2020-02-28,53.740002,54.180000,52.180000,54.160000,50.157108,45828300
2020-03-02,55.160000,57.540001,54.880001,57.320000,53.083549,30736200
2020-03-03,57.209999,58.049999,55.220001,55.700001,51.583294,27500200
2020-03-04,56.610001,58.250000,56.110001,58.119999,53.824429,17626400
2020-03-05,56.869999,57.520000,56.490002,57.160000,52.935379,21249900
2020-03-06,55.290001,57.209999,55.099998,56.869999,52.666813,22510800
2020-03-09,54.369999,57.580002,54.009998,55.830002,51.703682,31862200
2020-03-10,56.070000,56.889999,53.919998,56.520000,52.342682,34330900
2020-03-11,55.360001,55.529999,54.189999,54.830002,50.777592,21147400
2020-03-12,51.950001,54.000000,50.750000,51.200001,47.415874,45610600
2020-03-13,53.000000,54.369999,51.450001,54.169998,50.166367,45744000
2020-03-16,50.900002,53.200001,49.020000,50.990002,47.221401,36990400
2020-03-17,51.500000,55.480000,51.490002,54.310001,50.296021,33898000
2020-03-18,53.990002,55.930000,50.880001,54.320000,50.305283,38417400
2020-03-19,53.759998,54.919998,52.779999,53.619999,49.657017,33024900
2020-03-20,52.720001,53.040001,50.709999,51.799999,47.971527,46013800
2020-03-23,50.610001,53.270000,49.130001,50.310001,46.591660,39225100
2020-03-24,51.959999,51.959999,49.180000,49.990002,46.295307,40626900
2020-03-25,49.360001,51.910000,48.840000,49.939999,46.249004,38551300
2020-03-26,49.590000,53.900002,49.509998,53.540001,49.582928,32610900
2020-03-27,52.150002,53.840000,51.540001,52.770000,48.869843,25363600
2020-03-30,53.490002,55.029999,52.939999,54.770000,50.722019,20660200
2020-03-31,54.070000,54.540001,53.549999,53.730000,49.758884,21251800
2020-04-01,52.500000,53.450001,52.160000,52.919998,49.008751,18672600
2020-04-02,53.560001,55.500000,53.090000,55.250000,51.166546,20159400
2020-04-03,55.000000,55.240002,54.279999,54.700001,50.657200,17612500
2020-04-06,55.770000,56.939999,54.980000,56.700001,52.509380,20284400
2020-04-07,57.040001,57.880001,56.410000,56.980000,52.768681,21786000
2020-04-08,57.259998,58.020000,56.619999,57.799999,53.528076,18234200
2020-04-09,56.910000,58.099998,56.880001,57.439999,53.766769,19689500
2020-04-13,57.389999,57.599998,56.360001,56.669998,53.046017,12977700
2020-04-14,57.310001,58.400002,56.959999,58.139999,54.422009,16765600
2020-04-15,57.560001,58.009998,56.709999,56.930000,53.289387,18372800
2020-04-16,57.290001,58.000000,56.849998,57.660000,53.972698,17825800
2020-04-17,58.060001,58.680000,57.740002,58.459999,54.721542,15054300
2020-04-20,58.099998,58.910000,57.959999,58.130001,54.412651,14002200
2020-04-21,57.389999,58.040001,56.720001,56.820000,53.186420,14234500
2020-04-22,57.410000,58.570000,57.230000,57.990002,54.281605,12701100
2020-04-23,58.119999,58.660000,57.470001,57.590000,53.907185,15684400
2020-04-24,57.639999,57.990002,56.830002,57.930000,54.225437,15371500
2020-04-27,57.930000,58.290001,57.200001,57.810001,54.113113,16050100
2020-04-28,57.820000,58.380001,57.619999,57.830002,54.131836,13392600
2020-04-29,58.380001,58.599998,57.700001,58.119999,54.403286,17818100
2020-04-30,57.830002,57.959999,57.209999,57.450001,53.776134,17532400
2020-05-01,57.759998,57.790001,56.529999,56.830002,53.195786,13857400
2020-05-04,56.849998,57.029999,55.799999,56.240002,52.643517,11833600
2020-05-05,56.000000,56.939999,56.000000,56.509998,52.896244,10902400
2020-05-06,56.360001,56.660000,55.540001,55.639999,52.081879,12460400
2020-05-07,56.099998,56.150002,55.180000,55.580002,52.025715,14083100
2020-05-08,56.220001,57.029999,56.029999,57.000000,53.354904,11097900
2020-05-11,56.869999,56.910000,56.240002,56.400002,52.793282,12636800
2020-05-12,56.750000,56.750000,55.450001,55.459999,51.913387,13117700
2020-05-13,55.160000,55.549999,54.560001,54.849998,51.342400,20604500
2020-05-14,54.500000,54.930000,53.849998,54.910000,51.398560,15859200
2020-05-15,54.630001,54.759998,54.209999,54.709999,51.211357,10174000
2020-05-18,55.650002,56.200001,55.040001,55.720001,52.156773,15735900
2020-05-19,55.430000,55.549999,54.320000,54.380001,50.902458,18467100
2020-05-20,54.540001,54.900002,54.049999,54.259998,50.790127,21405400
2020-05-21,54.430000,54.639999,53.860001,53.970001,50.518681,18201000
2020-05-22,53.959999,54.290001,53.669998,54.099998,50.640362,19960000
2020-05-26,54.900002,55.250000,54.180000,54.299999,50.827572,20830500
2020-05-27,54.610001,55.220001,54.430000,55.139999,51.613853,17063800
2020-05-28,55.580002,55.790001,55.160000,55.720001,52.156773,15427900
2020-05-29,55.330002,57.790001,54.889999,57.380001,53.710613,34227800
2020-06-01,56.700001,56.900002,55.750000,55.779999,52.212925,18156100
2020-06-02,55.820000,56.459999,55.540001,56.400002,52.793282,17300400
2020-06-03,56.520000,56.980000,56.299999,56.830002,53.195786,16086700
2020-06-04,56.740002,57.369999,56.509998,57.220001,53.560844,16147300
2020-06-05,57.750000,58.119999,57.080002,57.740002,54.047588,17105600
2020-06-08,57.650002,58.200001,57.270000,58.090000,54.375206,14963000
2020-06-09,57.750000,58.130001,57.369999,57.860001,54.159912,14530800
2020-06-10,57.900002,58.230000,57.700001,58.049999,54.337761,13649100
2020-06-11,57.480000,57.939999,56.400002,56.450001,52.840084,23412500
2020-06-12,56.630001,56.810001,55.790001,56.529999,52.914967,17129000
2020-06-15,55.730000,56.540001,55.279999,56.150002,52.559269,14826800
2020-06-16,56.830002,57.320000,56.240002,56.919998,53.280029,15021300
2020-06-17,57.139999,57.169998,56.509998,56.650002,53.027298,10652100
2020-06-18,56.500000,56.959999,56.369999,56.889999,53.251945,9019500
2020-06-19,57.349998,57.470001,56.000000,56.160000,52.568630,28868200
2020-06-22,55.910000,56.259998,55.610001,55.660000,52.100601,12333900
2020-06-23,55.750000,55.849998,54.910000,54.939999,51.426647,20716400
2020-06-24,54.540001,54.560001,53.459999,53.930000,50.481232,24794600
2020-06-25,53.910000,54.389999,53.340000,54.279999,50.808853,17122500
2020-06-26,54.040001,54.060001,52.849998,53.160000,49.760471,30211900
2020-06-29,53.310001,54.709999,53.310001,54.689999,51.192635,15930300
2020-06-30,54.919998,55.290001,54.360001,55.130001,51.604500,17414800
2020-07-01,55.090000,55.330002,54.580002,54.669998,51.173908,12831600
2020-07-02,55.049999,55.410000,54.740002,54.790001,51.286236,15814500
2020-07-06,55.349998,55.430000,54.910000,55.240002,51.707466,11231100
2020-07-07,54.919998,55.330002,54.799999,55.040001,51.520252,13319700
2020-07-08,55.110001,55.439999,54.820000,55.380001,51.838512,15320800
2020-07-09,54.650002,54.650002,53.750000,53.939999,51.057594,17618400
2020-07-10,53.840000,54.580002,53.840000,54.490002,51.578205,15652200
2020-07-13,54.750000,54.770000,54.139999,54.450001,51.540344,15285100
2020-07-14,54.430000,55.650002,54.270000,55.439999,52.477440,15683600
2020-07-15,55.610001,55.720001,55.020000,55.060001,52.117744,13903600
2020-07-16,54.869999,55.830002,54.759998,55.779999,52.799267,13477400
2020-07-17,56.000000,56.599998,55.889999,56.299999,53.291481,13506300
2020-07-20,56.279999,56.279999,55.660000,55.869999,52.884460,10572900
2020-07-21,55.840000,56.500000,55.799999,55.840000,52.856064,12619700
2020-07-22,55.840000,55.950001,55.369999,55.750000,52.770874,11223500
2020-07-23,55.810001,56.090000,55.400002,55.849998,52.865528,16718700
2020-07-24,56.349998,57.570000,56.139999,56.849998,53.812096,17981700
2020-07-27,57.000000,57.330002,56.509998,56.869999,53.831024,12306700
2020-07-28,57.049999,57.700001,56.970001,57.480000,54.408428,13454700
2020-07-29,57.369999,57.689999,57.160000,57.450001,54.380028,9341800
2020-07-30,57.209999,57.459999,57.139999,57.299999,54.238041,12635800
2020-07-31,56.849998,57.500000,56.650002,57.480000,54.408428,16202900
2020-08-03,57.869999,57.869999,57.119999,57.240002,54.181252,13493400
2020-08-04,57.200001,58.139999,57.180000,57.910000,54.815449,11601000
2020-08-05,58.160000,58.189999,57.410000,57.540001,54.465218,9809300
2020-08-06,57.500000,57.950001,57.450001,57.830002,54.739723,10369900
2020-08-07,57.820000,58.549999,57.650002,58.529999,55.402317,12783900
2020-08-10,58.650002,59.150002,58.470001,58.990002,55.837734,12114500
2020-08-11,59.299999,59.610001,58.250000,58.509998,55.383385,12833100
2020-08-12,58.599998,58.970001,58.520000,58.599998,55.468578,10802100
2020-08-13,58.299999,58.599998,58.189999,58.520000,55.392857,7428600
2020-08-14,58.480000,58.939999,58.250000,58.790001,55.648426,8715900
2020-08-17,58.730000,58.930000,58.549999,58.779999,55.638958,8371900
2020-08-18,58.860001,59.470001,58.779999,59.180000,56.017586,10130600
2020-08-19,59.360001,59.439999,58.930000,59.049999,55.894527,10816300
2020-08-20,58.599998,59.090000,58.590000,58.959999,55.809338,8061500
