date,open,high,low,close,volume,R
2012-06-21 10:38:28,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:38:29,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:38:30,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:38:31,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:38:32,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:38:33,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:38:34,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:38:35,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:38:36,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:38:37,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:38:38,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:38:39,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:38:40,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:38:41,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:38:42,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:38:43,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:38:44,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:38:45,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:38:46,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:38:47,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:38:48,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:38:49,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:38:50,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:38:51,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:38:52,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:38:53,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:38:54,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:38:55,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:38:56,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:38:57,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:38:58,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:38:59,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:39:00,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:39:01,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:39:02,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:39:03,27.35,27.35,27.35,27.35,0,4e-05
2012-06-21 10:39:04,27.35,27.35,27.35,27.35,0,4e-05
2012-06-21 10:39:05,27.35,27.35,27.35,27.35,0,4e-05
2012-06-21 10:39:06,27.35,27.35,27.35,27.35,0,4e-05
2012-06-21 10:39:07,27.355,27.355,27.355,27.355,200,0.0
2012-06-21 10:39:08,27.35,27.35,27.35,27.35,100,-4e-05
2012-06-21 10:39:09,27.35,27.35,27.35,27.35,0,-4e-05
2012-06-21 10:39:10,27.35,27.35,27.35,27.35,0,-4e-05
2012-06-21 10:39:11,27.35,27.35,27.35,27.35,0,-4e-05
2012-06-21 10:39:12,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:39:13,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:39:14,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:39:15,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:39:16,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:39:17,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:39:18,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:39:19,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:39:20,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:39:21,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:39:22,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:39:23,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:39:24,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:39:25,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:39:26,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:39:27,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:39:28,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:39:29,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:39:30,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:39:31,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:39:32,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:39:33,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:39:34,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:39:35,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:39:36,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:39:37,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:39:38,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:39:39,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:39:40,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:39:41,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:39:42,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:39:43,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:39:44,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:39:45,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:39:46,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:39:47,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:39:48,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:39:49,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:39:50,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:39:51,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:39:52,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:39:53,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:39:54,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:39:55,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:39:56,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:39:57,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:39:58,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:39:59,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:40:00,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:40:01,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:40:02,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:40:03,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:40:04,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:40:05,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:40:06,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:40:07,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:40:08,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:40:09,27.35,27.35,27.35,27.35,100,0.0
2012-06-21 10:40:10,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:40:11,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:40:12,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:40:13,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:40:14,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:40:15,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:40:16,27.35,27.35,27.35,27.35,0,4e-05
2012-06-21 10:40:17,27.35,27.35,27.35,27.35,0,7e-05
2012-06-21 10:40:18,27.35,27.35,27.35,27.35,0,0.00011
2012-06-21 10:40:19,27.35,27.35,27.35,27.35,0,0.00015
2012-06-21 10:40:20,27.355,27.355,27.355,27.355,7,0.00015
2012-06-21 10:40:21,27.355,27.355,27.355,27.355,0,0.00011
2012-06-21 10:40:22,27.355,27.355,27.355,27.355,0,7e-05
2012-06-21 10:40:23,27.355,27.355,27.355,27.355,0,4e-05
2012-06-21 10:40:24,27.355,27.355,27.355,27.355,0,0.0
2012-06-21 10:40:25,27.355,27.355,27.355,27.355,0,0.0
2012-06-21 10:40:26,27.355,27.355,27.355,27.355,0,0.0
2012-06-21 10:40:27,27.355,27.355,27.355,27.355,0,0.0
2012-06-21 10:40:28,27.355,27.355,27.355,27.355,0,0.0
2012-06-21 10:40:29,27.355,27.355,27.355,27.355,0,0.0
2012-06-21 10:40:30,27.355,27.355,27.355,27.355,0,0.0
2012-06-21 10:40:31,27.355,27.355,27.355,27.355,0,0.0
2012-06-21 10:40:32,27.355,27.355,27.355,27.355,0,0.0
2012-06-21 10:40:33,27.355,27.355,27.355,27.355,0,-4e-05
2012-06-21 10:40:34,27.355,27.355,27.355,27.355,0,-7e-05
2012-06-21 10:40:35,27.355,27.355,27.355,27.355,0,-0.00011
2012-06-21 10:40:36,27.355,27.355,27.355,27.355,0,-0.00015
2012-06-21 10:40:37,27.35,27.35,27.35,27.35,18,-0.00015
2012-06-21 10:40:38,27.35,27.35,27.35,27.35,0,-0.00011
2012-06-21 10:40:39,27.35,27.35,27.35,27.35,0,-7e-05
2012-06-21 10:40:40,27.35,27.35,27.35,27.35,0,-4e-05
2012-06-21 10:40:41,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:40:42,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:40:43,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:40:44,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:40:45,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:40:46,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:40:47,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:40:48,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:40:49,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:40:50,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:40:51,27.35,27.35,27.345,27.345,16102,0.0
2012-06-21 10:40:52,27.35,27.35,27.345,27.345,0,0.0
2012-06-21 10:40:53,27.35,27.35,27.345,27.345,0,0.0
2012-06-21 10:40:54,27.35,27.35,27.345,27.345,0,0.0
2012-06-21 10:40:55,27.35,27.35,27.345,27.345,0,0.0
2012-06-21 10:40:56,27.35,27.35,27.345,27.345,0,0.0
2012-06-21 10:40:57,27.35,27.35,27.345,27.345,0,0.0
2012-06-21 10:40:58,27.35,27.35,27.345,27.345,0,0.0
2012-06-21 10:40:59,27.35,27.35,27.345,27.345,0,0.0
2012-06-21 10:41:00,27.35,27.35,27.345,27.345,0,0.0
2012-06-21 10:41:01,27.35,27.35,27.345,27.345,0,0.0
2012-06-21 10:41:02,27.35,27.35,27.345,27.345,0,0.0
2012-06-21 10:41:03,27.35,27.35,27.35,27.35,7935,0.0
2012-06-21 10:41:04,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:41:05,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:41:06,27.35,27.35,27.35,27.35,500,0.0
2012-06-21 10:41:07,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:41:08,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:41:09,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:41:10,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:41:11,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:41:12,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:41:13,27.35,27.35,27.35,27.35,0,0.0
2012-06-21 10:41:14,27.35,27.35,27.35,27.35,0,4e-05
2012-06-21 10:41:15,27.35,27.35,27.35,27.35,0,7e-05
2012-06-21 10:41:16,27.35,27.35,27.35,27.35,0,0.00011
2012-06-21 10:41:17,27.35,27.35,27.35,27.35,0,0.00015
2012-06-21 10:41:18,27.355,27.36,27.355,27.36,5134,0.00018
2012-06-21 10:41:19,27.355,27.36,27.355,27.36,0,0.00018
2012-06-21 10:41:20,27.355,27.36,27.355,27.36,0,0.00018
2012-06-21 10:41:21,27.355,27.36,27.355,27.36,0,0.00018
2012-06-21 10:41:22,27.36,27.36,27.36,27.36,121,0.00015
2012-06-21 10:41:23,27.36,27.36,27.36,27.36,0,0.00011
2012-06-21 10:41:24,27.36,27.36,27.36,27.36,0,7e-05
2012-06-21 10:41:25,27.36,27.36,27.36,27.36,0,4e-05
2012-06-21 10:41:26,27.36,27.36,27.36,27.36,0,-0.0
2012-06-21 10:41:27,27.36,27.36,27.36,27.36,0,0.0
2012-06-21 10:41:28,27.36,27.36,27.36,27.36,0,0.0
2012-06-21 10:41:29,27.36,27.36,27.36,27.36,0,0.0
2012-06-21 10:41:30,27.36,27.36,27.36,27.36,0,4e-05
2012-06-21 10:41:31,27.36,27.36,27.36,27.36,0,7e-05
2012-06-21 10:41:32,27.36,27.36,27.36,27.36,0,0.00011
2012-06-21 10:41:33,27.36,27.36,27.36,27.36,0,0.00015
2012-06-21 10:41:34,27.365,27.365,27.365,27.365,204,0.00015
2012-06-21 10:41:35,27.365,27.365,27.365,27.365,0,0.00011
2012-06-21 10:41:36,27.365,27.365,27.365,27.365,0,7e-05
2012-06-21 10:41:37,27.365,27.365,27.365,27.365,0,4e-05
2012-06-21 10:41:38,27.365,27.365,27.365,27.365,0,0.0
2012-06-21 10:41:39,27.365,27.365,27.365,27.365,0,0.0
2012-06-21 10:41:40,27.365,27.365,27.365,27.365,0,0.0
2012-06-21 10:41:41,27.365,27.365,27.365,27.365,0,0.0
2012-06-21 10:41:42,27.365,27.365,27.365,27.365,0,0.0
2012-06-21 10:41:43,27.365,27.365,27.365,27.365,0,0.0
2012-06-21 10:41:44,27.365,27.365,27.365,27.365,0,0.0
2012-06-21 10:41:45,27.365,27.365,27.365,27.365,0,0.0
2012-06-21 10:41:46,27.365,27.365,27.365,27.365,0,0.0
2012-06-21 10:41:47,27.365,27.365,27.365,27.365,0,4e-05
2012-06-21 10:41:48,27.365,27.365,27.365,27.365,0,7e-05
2012-06-21 10:41:49,27.365,27.365,27.365,27.365,0,0.00011
2012-06-21 10:41:50,27.365,27.365,27.365,27.365,0,0.00015
2012-06-21 10:41:51,27.37,27.37,27.37,27.37,5693,0.00015
2012-06-21 10:41:52,27.37,27.37,27.37,27.37,100,0.00011
2012-06-21 10:41:53,27.37,27.37,27.37,27.37,52,7e-05
2012-06-21 10:41:54,27.37,27.37,27.37,27.37,20,4e-05
2012-06-21 10:41:55,27.37,27.37,27.37,27.37,0,0.0
2012-06-21 10:41:56,27.37,27.37,27.37,27.37,0,0.0
2012-06-21 10:41:57,27.37,27.37,27.37,27.37,0,0.0
2012-06-21 10:41:58,27.37,27.37,27.37,27.37,0,0.0
2012-06-21 10:41:59,27.37,27.37,27.37,27.37,200,0.0
2012-06-21 10:42:00,27.37,27.37,27.37,27.37,0,0.0
2012-06-21 10:42:01,27.37,27.37,27.37,27.37,0,0.0
2012-06-21 10:42:02,27.37,27.37,27.37,27.37,0,0.0
2012-06-21 10:42:03,27.37,27.37,27.37,27.37,0,0.0
2012-06-21 10:42:04,27.37,27.37,27.37,27.37,0,0.0
2012-06-21 10:42:05,27.37,27.37,27.37,27.37,0,4e-05
2012-06-21 10:42:06,27.37,27.37,27.37,27.37,0,7e-05
2012-06-21 10:42:07,27.37,27.37,27.37,27.37,100,0.00011
2012-06-21 10:42:08,27.37,27.37,27.37,27.37,0,0.00015
2012-06-21 10:42:09,27.375,27.375,27.375,27.375,100,0.00015
2012-06-21 10:42:10,27.375,27.375,27.375,27.375,0,0.00011
2012-06-21 10:42:11,27.375,27.375,27.375,27.375,0,7e-05
2012-06-21 10:42:12,27.375,27.375,27.375,27.375,0,4e-05
2012-06-21 10:42:13,27.375,27.375,27.375,27.375,0,0.0
2012-06-21 10:42:14,27.375,27.375,27.375,27.375,0,0.0
2012-06-21 10:42:15,27.375,27.375,27.375,27.375,0,0.0
2012-06-21 10:42:16,27.375,27.375,27.375,27.375,0,0.0
2012-06-21 10:42:17,27.375,27.375,27.375,27.375,0,0.0
2012-06-21 10:42:18,27.375,27.375,27.375,27.375,0,0.0
2012-06-21 10:42:19,27.375,27.375,27.375,27.375,0,-4e-05
2012-06-21 10:42:20,27.375,27.375,27.375,27.375,0,-7e-05
2012-06-21 10:42:21,27.375,27.375,27.375,27.375,0,-0.00011
2012-06-21 10:42:22,27.375,27.375,27.375,27.375,0,-0.00015
2012-06-21 10:42:23,27.37,27.37,27.37,27.37,171,-0.00015
2012-06-21 10:42:24,27.37,27.37,27.37,27.37,0,-0.00011
2012-06-21 10:42:25,27.37,27.37,27.37,27.37,100,-7e-05
2012-06-21 10:42:26,27.37,27.37,27.37,27.37,0,-4e-05
2012-06-21 10:42:27,27.37,27.37,27.37,27.37,0,0.0
2012-06-21 10:42:28,27.37,27.37,27.37,27.37,0,0.0
2012-06-21 10:42:29,27.37,27.37,27.37,27.37,0,0.0
2012-06-21 10:42:30,27.37,27.37,27.37,27.37,0,0.0
2012-06-21 10:42:31,27.37,27.37,27.37,27.37,0,0.0
2012-06-21 10:42:32,27.37,27.37,27.37,27.37,0,0.0
2012-06-21 10:42:33,27.37,27.37,27.37,27.37,0,0.0
2012-06-21 10:42:34,27.37,27.37,27.37,27.37,0,0.0
2012-06-21 10:42:35,27.37,27.37,27.37,27.37,0,0.0
2012-06-21 10:42:36,27.37,27.37,27.37,27.37,0,0.0
2012-06-21 10:42:37,27.37,27.37,27.37,27.37,0,7e-05
2012-06-21 10:42:38,27.37,27.37,27.37,27.37,0,0.00015
2012-06-21 10:42:39,27.37,27.37,27.37,27.37,0,0.00022
2012-06-21 10:42:40,27.37,27.37,27.37,27.37,0,0.00029
2012-06-21 10:42:41,27.38,27.38,27.38,27.38,2600,0.00029
2012-06-21 10:42:42,27.38,27.38,27.38,27.38,0,0.00022
2012-06-21 10:42:43,27.38,27.38,27.38,27.38,0,0.00015
2012-06-21 10:42:44,27.38,27.38,27.38,27.38,0,7e-05
2012-06-21 10:42:45,27.38,27.38,27.38,27.38,0,0.0
2012-06-21 10:42:46,27.38,27.38,27.38,27.38,0,0.0
2012-06-21 10:42:47,27.38,27.38,27.38,27.38,0,0.0
2012-06-21 10:42:48,27.38,27.38,27.38,27.38,0,0.0
2012-06-21 10:42:49,27.38,27.38,27.38,27.38,0,0.0
2012-06-21 10:42:50,27.38,27.38,27.38,27.38,0,0.0
2012-06-21 10:42:51,27.38,27.38,27.38,27.38,0,0.0
2012-06-21 10:42:52,27.38,27.38,27.38,27.38,0,0.0
2012-06-21 10:42:53,27.38,27.38,27.38,27.38,0,0.0
2012-06-21 10:42:54,27.38,27.38,27.38,27.38,87,0.0
2012-06-21 10:42:55,27.38,27.38,27.38,27.38,0,0.0
2012-06-21 10:42:56,27.38,27.38,27.38,27.38,0,0.0
2012-06-21 10:42:57,27.38,27.38,27.38,27.38,0,0.0
2012-06-21 10:42:58,27.38,27.38,27.38,27.38,0,0.0
2012-06-21 10:42:59,27.38,27.38,27.38,27.38,0,0.0
